Pick,Value
1,3000.0
2,2600.0
3,2200.0
4,1800.0
5,1700.0
6,1600.0
7,1500.0
8,1400.0
9,1350.0
10,1300.0
11,1250.0
12,1200.0
13,1150.0
14,1100.0
15,1050.0
16,1000.0
17,950.0
18,900.0
19,875.0
20,850.0
21,800.0
22,780.0
23,760.0
24,740.0
25,720.0
26,700.0
27,680.0
28,660.0
29,640.0
30,620.0
31,600.0
32,590.0
33,580.0
34,560.0
35,550.0
36,540.0
37,530.0
38,520.0
39,510.0
40,500.0
41,490.0
42,480.0
43,470.0
44,460.0
45,450.0
46,440.0
47,430.0
48,420.0
49,410.0
50,400.0
51,390.0
52,380.0
53,370.0
54,360.0
55,350.0
56,340.0
57,330.0
58,320.0
59,310.0
60,300.0
61,292.0
62,284.0
63,276.0
64,270.0
65,265.0
66,260.0
67,255.0
68,250.0
69,245.0
70,240.0
71,235.0
72,230.0
73,225.0
74,220.0
75,215.0
76,210.0
77,205.0
78,200.0
79,195.0
80,190.0
81,185.0
82,180.0
83,175.0
84,170.0
85,165.0
86,160.0
87,155.0
88,150.0
89,145.0
90,140.0
91,136.0
92,132.0
93,128.0
94,124.0
95,120.0
96,116.0
97,112.0
98,108.0
99,104.0
100,100.0
101,96.0
102,92.0
103,88.0
104,86.0
105,84.0
106,82.0
107,80.0
108,78.0
109,76.0
110,74.0
111,72.0
112,70.0
113,68.0
114,66.0
115,64.0
116,62.0
117,60.0
118,58.0
119,56.0
120,54.0
121,52.0
122,50.0
123,49.0
124,48.0
125,47.0
126,46.0
127,45.0
128,44.0
129,43.0
130,42.0
131,41.0
132,40.0
133,39.5
134,39.0
135,38.5
136,38.0
137,37.5
138,37.0
139,36.5
140,36.0
141,35.5
142,35.0
143,34.5
144,34.0
145,33.5
146,33.0
147,32.6
148,32.2
149,31.8
150,31.4
151,31.0
152,30.6
153,30.2
154,29.8
155,29.4
156,29.0
157,28.6
158,28.2
159,27.8
160,27.4
161,27.0
162,26.6
163,26.2
164,25.8
165,25.4
166,25.0
167,24.6
168,24.2
169,23.8
170,23.4
171,23.0
172,22.6
173,22.2
174,21.8
175,21.4
176,21.0
177,20.6
178,20.2
179,19.8
180,19.4
181,19.0
182,18.6
183,18.2
184,17.8
185,17.4
186,17.0
187,16.6
188,16.2
189,15.8
190,15.4
191,15.0
192,14.6
193,14.2
194,13.8
195,13.4
196,13.0
197,12.6
198,12.2
199,11.8
200,11.4
201,11.0
202,10.6
203,10.2
204,9.8
205,9.4
206,9.0
207,8.6
208,8.2
209,7.8
210,7.4
211,7.0
212,6.6
213,6.2
214,5.8
215,5.4
216,5.0
217,4.6
218,4.2
219,3.8
220,3.4
221,3.0
222,2.6
223,2.3
224,2.0
