Player Name,List Year,List Pos,Draft Round
Tom Brady,2011,1,6
Peyton Manning,2011,2,1
Adrian Peterson,2011,3,1
Ray Lewis,2011,4,1
Ed Reed,2011,5,1
Troy Polamalu,2011,6,1
Andre Johnson,2011,7,1
Darrelle Revis,2011,8,1
Drew Brees,2011,9,2
Julius Peppers,2011,10,1
Aaron Rodgers,2011,11,1
DeMarcus Ware,2011,12,1
Chris Johnson,2011,13,1
Larry Fitzgerald,2011,14,1
Dwight Freeney,2011,15,1
Charles Woodson,2011,16,1
Haloti Ngata,2011,17,1
Nnamdi Asomugha,2011,18,1
Clay Matthews,2011,19,1
Michael Vick,2011,20,1
James Harrison,2011,21,0
Antonio Gates,2011,22,0
Patrick Willis,2011,23,1
Roddy White,2011,24,1
Arian Foster,2011,25,0
Philip Rivers,2011,26,1
Calvin Johnson,2011,27,1
Jake Long,2011,28,1
DeSean Jackson,2011,29,2
Maurice Jones-Drew,2011,30,2
Reggie Wayne,2011,31,1
Devin Hester,2011,32,2
Jamaal Charles,2011,33,3
Jahri Evans,2011,34,4
Vince Wilfork,2011,35,1
Jason Witten,2011,36,3
Jonathan Vilma,2011,37,1
Steven Jackson,2011,38,1
Logan Mankins,2011,39,1
Terrell Suggs,2011,40,1
Ben Roethlisberger,2011,41,1
Michael Turner,2011,42,5
Joe Thomas,2011,43,1
Robert Mathis,2011,44,5
Dwayne Bowe,2011,45,1
Tony Gonzalez,2011,46,1
Nick Mangold,2011,47,1
Champ Bailey,2011,48,1
Brian Urlacher,2011,49,1
Wes Welker,2011,50,0
Ndamukong Suh,2011,51,1
Matt Ryan,2011,52,1
Marques Colston,2011,53,7
Asante Samuel,2011,54,4
Carl Nicks,2011,55,5
Ray Rice,2011,56,2
Andre Gurode,2011,57,2
Brandon Lloyd,2011,58,4
Jeff Saturday,2011,59,0
Justin Tuck,2011,60,3
Brandon Marshall,2011,61,4
Jerod Mayo,2011,62,1
Cameron Wake,2011,63,0
Tamba Hali,2011,64,1
Vonta Leach,2011,65,0
Richard Seymour,2011,66,1
Brian Waters,2011,67,0
Antrel Rolle,2011,68,1
John Abraham,2011,69,1
Miles Austin,2011,70,0
Mario Williams,2011,71,1
Tony Romo,2011,72,0
Trent Cole,2011,73,5
Greg Jennings,2011,74,2
Jay Ratliff,2011,75,7
Santonio Holmes,2011,76,1
Chris Snee,2011,77,2
Dallas Clark,2011,78,1
D'Brickashaw Ferguson,2011,79,1
Jared Allen,2011,80,4
B.J. Raji,2011,81,1
LaMarr Woodley,2011,82,2
Mike Williams,2011,83,4
Josh Cribbs,2011,84,0
Jason Babin,2011,85,1
Josh Freeman,2011,86,1
Jordan Gross,2011,87,1
Vernon Davis,2011,88,1
Adrian Wilson,2011,89,3
Joe Flacco,2011,90,1
Terrell Owens,2011,91,3
Lance Briggs,2011,92,3
Eric Berry,2011,93,1
Frank Gore,2011,94,3
Jon Beason,2011,95,1
Nick Collins,2011,96,2
Shaun Phillips,2011,97,4
Darren McFadden,2011,98,1
Chad Clifton,2011,99,2
Donovan McNabb,2011,100,1
Aaron Rodgers,2012,1,1
Drew Brees,2012,2,2
Calvin Johnson,2012,3,1
Tom Brady,2012,4,6
Darrelle Revis,2012,5,1
DeMarcus Ware,2012,6,1
Larry Fitzgerald,2012,7,1
Adrian Peterson,2012,8,1
Haloti Ngata,2012,9,1
Patrick Willis,2012,10,1
Terrell Suggs,2012,11,1
Maurice Jones-Drew,2012,12,2
Jared Allen,2012,13,4
Jimmy Graham,2012,14,3
Andre Johnson,2012,15,1
Ed Reed,2012,16,1
Justin Smith,2012,17,1
LeSean McCoy,2012,18,2
Troy Polamalu,2012,19,1
Ray Lewis,2012,20,1
Rob Gronkowski,2012,21,2
Ray Rice,2012,22,2
Wes Welker,2012,23,0
Jason Pierre-Paul,2012,24,1
Arian Foster,2012,25,0
Julius Peppers,2012,26,1
Clay Matthews,2012,27,1
Frank Gore,2012,28,3
James Harrison,2012,29,0
Ben Roethlisberger,2012,30,1
Eli Manning,2012,31,1
Jahri Evans,2012,32,4
Matt Forte,2012,33,2
Tamba Hali,2012,34,1
Steve Smith Sr.,2012,35,3
Charles Woodson,2012,36,1
Steven Jackson,2012,37,1
Ndamukong Suh,2012,38,1
Victor Cruz,2012,39,0
Cam Newton,2012,40,1
Matthew Stafford,2012,41,1
Jason Peters,2012,42,0
Vernon Davis,2012,43,1
Jason Babin,2012,44,1
Vonta Leach,2012,45,0
Champ Bailey,2012,46,1
Mike Wallace,2012,47,3
Devin Hester,2012,48,2
Maurkice Pouncey,2012,49,1
Peyton Manning,2012,50,1
Brian Urlacher,2012,51,1
Von Miller,2012,52,1
Tony Gonzalez,2012,53,1
Brian Cushing,2012,54,1
Patrick Peterson,2012,55,1
Greg Jennings,2012,56,2
Trent Cole,2012,57,5
Jonathan Vilma,2012,58,1
Jake Long,2012,59,1
Darren McFadden,2012,60,1
Philip Rivers,2012,61,1
Justin Tuck,2012,62,3
LaMarr Woodley,2012,63,2
Logan Mankins,2012,64,1
Roddy White,2012,65,1
Earl Thomas,2012,66,1
Joe Staley,2012,67,1
Elvis Dumervil,2012,68,4
Carlos Rogers,2012,69,1
Michael Vick,2012,70,1
DeSean Jackson,2012,71,2
Lance Briggs,2012,72,3
Johnathan Joseph,2012,73,1
Joe Flacco,2012,74,1
Jason Witten,2012,75,3
Carl Nicks,2012,76,5
A.J. Green,2012,77,1
Derrick Johnson,2012,78,1
Nnamdi Asomugha,2012,79,1
Jordy Nelson,2012,80,2
Vince Wilfork,2012,81,1
Joe Thomas,2012,82,1
Fred Jackson,2012,83,0
Chris Long,2012,84,1
NaVorro Bowman,2012,85,3
Darren Sproles,2012,86,4
London Fletcher,2012,87,0
Michael Turner,2012,88,5
Dwight Freeney,2012,89,1
Hakeem Nicks,2012,90,1
Tony Romo,2012,91,0
John Kuhn,2012,92,0
Cortland Finnegan,2012,93,7
Marshawn Lynch,2012,94,1
Tim Tebow,2012,95,1
D'Qwell Jackson,2012,96,2
Donald Penn,2012,97,0
Willis McGahee,2012,98,1
Ryan Kalil,2012,99,2
Chris Johnson,2012,100,1
Adrian Peterson,2013,1,1
Peyton Manning,2013,2,1
Calvin Johnson,2013,3,1
Tom Brady,2013,4,6
J.J. Watt,2013,5,1
Aaron Rodgers,2013,6,1
Aldon Smith,2013,7,1
Arian Foster,2013,8,0
Von Miller,2013,9,1
Patrick Willis,2013,10,1
Drew Brees,2013,11,2
DeMarcus Ware,2013,12,1
Ray Rice,2013,13,2
Andre Johnson,2013,14,1
Robert Griffin III,2013,15,1
A.J. Green,2013,16,1
Matt Ryan,2013,17,1
Ed Reed,2013,18,1
Joe Flacco,2013,19,1
Jamaal Charles,2013,20,3
Reggie Wayne,2013,21,1
Larry Fitzgerald,2013,22,1
Andrew Luck,2013,23,1
Marshawn Lynch,2013,24,1
Rob Gronkowski,2013,25,2
Julio Jones,2013,26,1
